"id_parcel","surf_parc","code_cultu","source","id","type"
"12311468",0.95,"VRC","IGN","commune.13120","vineyard"
"3464632",1.21,"BTH","IGN","commune.12999","wheat"
"3464629",0.97,"VRC","IGN","commune.12999","vineyard"
"10132824",1.29,"VRC","IGN","commune.13120","vineyard"
"10132827",1.93,"VRC","IGN","commune.13120","vineyard"
"12301586",0.2,"VRC","IGN","commune.12963","vineyard"
"10127764",0.27,"VRC","IGN","commune.13013","vineyard"
"3479503",0.18,"VRC","IGN","commune.13013","vineyard"
"3436572",2.61,"VRC","IGN","commune.13178","vineyard"
"3497159",0.35,"VRC","IGN","commune.12920","vineyard"
"12312658",0.47,"VRC","IGN","commune.13161","vineyard"
"3470964",0.31,"VRC","IGN","commune.12947","vineyard"
"3470873",0.7,"VRC","IGN","commune.12947","vineyard"
"3517691",0.73,"VRC","IGN","commune.13218","vineyard"
"3480737",0.04,"OLI","IGN","commune.13212","olivetree"
"3468897",0.72,"OLI","IGN","commune.13217","olivetree"
"3468900",0.08,"OLI","IGN","commune.13217","olivetree"
"12306126",0.3,"OLI","IGN","commune.13217","olivetree"
"12306127",0.31,"OLI","IGN","commune.12920","olivetree"
"12306127",0.31,"OLI","IGN","commune.13166","olivetree"
"12306500",1.43,"VRC","IGN","commune.12999","vineyard"
"3452418",36.02,"SPL","IGN","commune.13266","SPL"
"10119952",12.94,"SPH","IGN","commune.13266","perennial"
"3453253",0.51,"SPL","IGN","commune.13266","SPL"
"3452362",6.09,"SPH","IGN","commune.13266","perennial"
"3452358",1.69,"PRL","IGN","commune.13266","semiperennial"
"3459890",0.24,"VRC","IGN","commune.13105","vineyard"
"3459897",0.5,"VRC","IGN","commune.13052","vineyard"
"3459896",0.43,"VRC","IGN","commune.13052","vineyard"
"3463080",0.51,"RGA","IGN","commune.12959","semiperennial"
"3443132",0.07,"VRC","IGN","commune.13096","vineyard"
"3443128",0.29,"VRC","IGN","commune.13230","vineyard"
"3468236",0.57,"VRC","IGN","commune.12941","vineyard"
"10122287",0.48,"BDH","IGN","commune.13240","wheat"
"3468441",0.43,"VRC","IGN","commune.12941","vineyard"
"3527242",0.39,"RVI","IGN","commune.13166","semiperennial"
"3462546",1.01,"VRC","IGN","commune.12963","vineyard"
"3474180",1.19,"VRC","IGN","commune.13033","vineyard"
"3441657",0.29,"VRC","IGN","commune.13041","vineyard"
"3459700",0.85,"FET","IGN","commune.13305","semiperennial"
"3459637",1.36,"LUZ","IGN","commune.13214","fodder"
"10122936",0.18,"VRC","IGN","commune.12955","vineyard"
"10122953",0.11,"OLI","IGN","commune.12955","olivetree"
"3459463",2.12,"ORH","IGN","commune.13214","barley"
"12303365",61.36,"SPL","IGN","commune.13049","SPL"
"3490386",0.48,"FAG","IGN","commune.13240","fodder"
"3459780",0.78,"SPH","IGN","commune.13214","perennial"
"3459863",2.96,"LUZ","IGN","commune.13214","fodder"
"3459870",0.73,"LUZ","IGN","commune.13214","fodder"
"3458786",0.8,"LUZ","IGN","commune.13214","fodder"
"10118209",0.1,"SPH","IGN","commune.13049","perennial"
"3437773",0.98,"RVI","IGN","commune.13154","semiperennial"
"3437873",0.09,"OLI","IGN","commune.12947","olivetree"
"12302940",0.53,"PRL","IGN","commune.13268","semiperennial"
"3492234",0.21,"PRL","IGN","commune.13268","semiperennial"
"3492233",0.65,"PRL","IGN","commune.13268","semiperennial"
"3492227",1.08,"PRL","IGN","commune.13268","semiperennial"
"3492226",0.67,"PRL","IGN","commune.13268","semiperennial"
"3467883",1.7,"PPH","IGN","commune.12978","perennial"
"3476716",0.2,"SPL","IGN","commune.13028","SPL"
"12308721",10.14,"VRC","IGN","commune.12926","vineyard"
"12308722",1.08,"VRC","IGN","commune.12926","vineyard"
"3546161",0.55,"RVI","IGN","commune.12926","semiperennial"
"12304035",0.77,"SPL","IGN","commune.13028","SPL"
"3466637",0.25,"VRC","IGN","commune.12920","vineyard"
"3519191",0.1,"VRC","IGN","commune.12920","vineyard"
"12326098",0.37,"VRN","IGN","commune.12920","vineyard"
"12302205",0.17,"SPH","IGN","commune.13266","perennial"
"3450261",0.27,"SPH","IGN","commune.13266","perennial"
"12301832",0.69,"SPH","IGN","commune.13063","perennial"
"3465077",0.29,"VRC","IGN","commune.12999","vineyard"
"3447251",44.37,"SPL","IGN","commune.13105","SPL"
"3447251",44.37,"SPL","IGN","commune.13217","SPL"
"3452860",1.65,"SPH","IGN","commune.13211","perennial"
"12301662",0.17,"SPL","IGN","commune.13211","SPL"
"12301661",0.14,"SPL","IGN","commune.13211","SPL"
"12301821",1.7,"SPH","IGN","commune.13063","perennial"
"12301821",1.7,"SPH","IGN","commune.13126","perennial"
"12301636",21.43,"SPL","IGN","commune.13105","SPL"
"3447180",2.69,"SPL","IGN","commune.13105","SPL"
"3441561",0.22,"J6P","IGN","commune.13154","perennial"
"10134385",0.17,"SPL","IGN","commune.13129","SPL"
"3451137",0.36,"SPH","IGN","commune.13227","perennial"
"3495693",1.54,"PTR","IGN","commune.13063","semiperennial"
"3451140",1.19,"SPH","IGN","commune.13227","perennial"
"12309525",42.15,"SPL","IGN","commune.13227","SPL"
"12322214",0.11,"VRC","IGN","commune.13030","vineyard"
"12323278",0.44,"RVI","IGN","commune.13030","semiperennial"
"3450293",1.39,"SPH","IGN","commune.13227","perennial"
"3452992",0.79,"SPH","IGN","commune.13227","perennial"
"3452991",1.65,"SPH","IGN","commune.13227","perennial"
"12326107",0.12,"VRC","IGN","commune.13235","vineyard"
"3453133",0.12,"SPL","IGN","commune.13227","SPL"
"3469594",0.35,"VRC","IGN","commune.12947","vineyard"
"3522876",0.77,"VRC","IGN","commune.13146","vineyard"
"3489651",0.07,"LUZ","IGN","commune.13061","fodder"
"3489828",0.25,"PPH","IGN","commune.13061","perennial"
"10128007",0.05,"SPH","IGN","commune.13061","perennial"
"3489831",0.02,"SPH","IGN","commune.13061","perennial"
"3489832",0.31,"PPH","IGN","commune.13061","perennial"
